ID;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;FECHA_INSTALACION;MODELO
84149;155;SAN PASCUAL;15;CIUDAD LINEAL;CALLE;AMARA;4;28027;2021-09-22 00:00:00.0;MU-51
88667;165;APOSTOL SANTIAGO;16;HORTALEZA;CARRETERA;ESTACION DE HORTALEZA;11;28033;2021-05-06 00:00:00.0;MU-51
92973;163;CANILLAS;16;HORTALEZA;CALLE;TORQUEMADA;5;28043;2019-02-04 00:00:00.0;MU-51
92980;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;BALANDRO;1;28042;2021-09-30 00:00:00.0;MU-51
94077;163;CANILLAS;16;HORTALEZA;CALLE;AGUSTIN CALVO;15;28043;2021-09-22 00:00:00.0;MU-51
94463;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;CORBETA;12;28042;2021-09-17 00:00:00.0;MU-51
94464;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;CORBETA;12;28042;2021-09-22 00:00:00.0;MU-51
94480;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;RIAÑO;9;28042;2019-01-29 00:00:00.0;MU-51
66419;204;ARCOS;20;SAN BLAS - CANILLEJAS;AVENIDA;GUADALAJARA;57;28032;2023-06-06 00:00:00.0;MU-51
63461;203;AMPOSTA;20;SAN BLAS - CANILLEJAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;160;28037;2022-09-22 00:00:00.0;MU-51
94483;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;CORBETA;12;28042;2020-09-23 00:00:00.0;MU-51
94499;215;CORRALEJOS;21;BARAJAS;AVENIDA;PARTENON;5;28042;2021-09-23 00:00:00.0;MU-51
94485;214;TIMON;21;BARAJAS;AVENIDA;LOGROÑO;164;28042;2021-09-24 00:00:00.0;MU-51
94508;204;ARCOS;20;SAN BLAS - CANILLEJAS;AVENIDA;GUADALAJARA;4;28032;2021-09-24 00:00:00.0;MU-51
94484;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;CORBETA;12;28042;2020-09-23 00:00:00.0;MU-51
94486;214;TIMON;21;BARAJAS;AVENIDA;LOGROÑO;164;28042;2021-02-11 00:00:00.0;MU-51
94492;215;CORRALEJOS;21;BARAJAS;CALLE;BAHIA DE POLLENSA;5;28042;2021-09-16 00:00:00.0;MU-51
94518;204;ARCOS;20;SAN BLAS - CANILLEJAS;CALLE;ARCOS DE JALON;22;28037;2021-09-21 00:00:00.0;MU-51
94523;204;ARCOS;20;SAN BLAS - CANILLEJAS;CALLE;ELECTRICISTAS;11;28037;2019-02-04 00:00:00.0;MU-51
94527;204;ARCOS;20;SAN BLAS - CANILLEJAS;CALLE;CONSERVEROS;4;28037;2020-09-23 00:00:00.0;MU-51
94543;206;REJAS;20;SAN BLAS - CANILLEJAS;AVENIDA;SEPTIMA;68;28022;2019-02-04 00:00:00.0;MU-51
64088;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;NORAY;13;28042;2019-01-29 00:00:00.0;MU-51
65484;163;CANILLAS;16;HORTALEZA;CALLE;EL PROVENCIO;20;28043;2021-09-10 00:00:00.0;MU-51
94548;204;ARCOS;20;SAN BLAS - CANILLEJAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;129;28037;2021-09-14 00:00:00.0;MU-51
94547;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;CALLE;ALBARRACIN;54;28037;2021-09-14 00:00:00.0;MU-51
94549;204;ARCOS;20;SAN BLAS - CANILLEJAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;129;28037;2021-09-02 00:00:00.0;MU-51
94540;205;ROSAS;20;SAN BLAS - CANILLEJAS;CALLE;AUSTRIA;16;28022;2021-09-13 00:00:00.0;MU-51
65236;211;ALAMEDA DE OSUNA;21;BARAJAS;CALLE;CORBETA;12;28042;2021-09-14 00:00:00.0;MU-51
94534;208;EL SALVADOR;20;SAN BLAS - CANILLEJAS;CALLE;LOPEZ DE ARANDA;29;28027;2021-09-03 00:00:00.0;MU-51
94532;208;EL SALVADOR;20;SAN BLAS - CANILLEJAS;CALLE;LOPEZ DE ARANDA;29;28027;2021-09-01 00:00:00.0;MU-51
94557;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;17 A;28037;2019-02-04 00:00:00.0;MU-51
94558;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;17 A;28037;2021-02-11 00:00:00.0;MU-51
94564;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;CALLE;JULIAN CAMARILLO;11;28037;2021-09-07 00:00:00.0;MU-51
94562;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;CALLE;JULIAN CAMARILLO;11;28037;2021-09-01 00:00:00.0;MU-51
94565;201;SIMANCAS;20;SAN BLAS - CANILLEJAS;CALLE;JULIAN CAMARILLO;11;28037;2021-09-09 00:00:00.0;MU-51
60412;166;VALDEFUENTES;16;HORTALEZA;CAMINO;MONTORO;6;28055;2019-04-09 00:00:00.0;MU-51
96322;155;SAN PASCUAL;15;CIUDAD LINEAL;CALLE;MARTINEZ VILLERGAS;50;28027;2021-10-13 00:00:00.0;MU-51
