Titulo,Anio,Valoracion,Genero
What is Love,2012,6.6,Documental
I am Femen,2014,8.0,Documental
Sea Sorrow,2017,8.2,Documental
Cuentos Extraordinarios,2014,7.2,Terror
The Salvation,2014,7.2,Acción
Mi amor,2015,7.4,Drama
La ley del mercado,2015,7.4,Drama
Mi vida ahora,2013,6.7,Thriller
El amor es extraño,2014,7.7,Romántica
Tan humano como yo,2017,7.5,Documental
Traded,2016,4.3,Acción
Kampai!,2015,8.0,Documental
Pilar Lorengar: la voz y el silencio,2016,8.8,Conciertos y Óperas
Senderos de gloria,1957,9.1,Cine clásico
Willy 1,2016,6.7,Drama
71 fragmentos de una cronología del azar,1994,7.3,Cine clásico
Sans soleil,1983,8.3,Documental
Homo Sapiens,2016,7.5,Drama
"Menuhin, violinista del s.XX",1990,8.8,Documental musical
Fakirs,2017,8.1,Documental
Subspecies,1991,6.3,Terror
"Baxter, Vera Baxter",1977,6.2,Cine clásico
India Song,1975,7.6,Cine clásico
"Hedi, un viento de libertad",2016,7.2,Romántica
Albert Camus en Menorca,2010,7.4,Documental
Liquid Sky (Cielo líquido),1982,7.6,Ciencia ficción
Ava,2017,7.0,Romántica
La Jetée,1962,8.6,Ciencia ficción
"Thi Mai, rumbo a Vietnam",2017,5.3,Comedia
Ruibal por libre,2017,8.4,Documental musical
Komian,2014,7.0,Documental
Salvando al Reino de Oz,2017,6.0,Aventuras
La Aventura,1960,7.9,Cine clásico
No sé decir adiós,2017,7.3,Drama
Nuestra hermana pequeña,2015,8.0,Drama
¿Dónde está la libertad?,1954,7.2,Cine clásico
El Hombre Rama y la Escoba Voladora,2017,7.4,Aventuras
El efecto sombra,2017,4.6,Thriller
Berlín Occidental,2014,7.2,Documental
Nacido en Gaza,2014,8.4,Documental
Disco & Atomic War,2009,6.3,Documental
Fuera de juego,2017,6.4,Documental
Swagger,2016,7.9,Documental
Palacio,2009,8.0,Documental
Españoles en el exilio,2017,5.9,Documental
Parasol,2015,6.4,Comedia
"Sin vagina, me marginan",2017,6.5,Comedia
Un Bosque en París,2016,7.0,Documental
Angélica. Una tragedia,2017,8.8,Documental
Los demenciales chicos acelerados,2018,7.2,Documental
Moctezuma-Grau. Descendencia mortal,2017,6.8,Documental
La Transacción,2017,7.0,Documental
Objetivo Gadafi,2014,6.3,Documental
Magnicidios Poe,2017,7.1,Documental
"Escoreu, 24 de diciembre de 1937",2017,7.3,Documental
Sotobosque,2017,7.6,Comedia
Histeria de España,2017,6.8,Documental
A.K (Akira Kurosawa),1985,7.9,Cine clásico
Solo se vive una vez,2017,6.4,Comedia
El último traje,2017,7.4,Drama
La abeja Maya: los juegos de la miel,2017,8.0,Aventuras
